id,category,question,answer,source
1,请假,怎么请病假？,病假需持校医院诊断证明或校外三级医院病历，填写请假单并由辅导员签字，3天内交教务处备案，3天以上需学院分管院长审批。,学生手册P23
2,请假,事假怎么请？,事假需提前1天向辅导员提交书面申请，说明事由及时间，3天以内由辅导员批准，3-7天由系部批准，7天以上需教务处备案。,学生手册P24
3,请假,病假最多能请多久？,单次病假原则上不超过2周，若需长期治疗应办理休学手续，累计病假超过本学期总学时1/3者需办理休学。,学生手册P25
4,请假,请假的流程是什么？,流程为：领取请假单（或网上申请）→ 填写事由和时间 → 附相关证明（病假需医院证明）→ 找辅导员签字 → 交教务处或学工办存档。,学工办通知
5,请假,周末离校需要请假吗？,周末及法定节假日离校无需单独请假，但需在班级《节假日离校登记表》上登记去向，返校后销假。,班级群通知
6,请假,上课期间临时出校门要请假吗？,上课期间临时外出（如看病、取快递）必须向任课老师出示辅导员开具的“临时出入证”或线上请假审批，否则按旷课处理。,教务处规定
7,请假,补假条怎么操作？,因紧急情况未能提前请假，需在事发后3个工作日内补办请假手续，逾期按旷课处理。补假条需附情况说明及证明。,学生手册P26
8,请假,公假怎么申请？,代表学校参加比赛、会议等公假，需提供活动主办方或学校部门的公假函，由指导老师统一办理，不影响课程考勤。,团委通知
9,奖学金,国家奖学金的评选条件是什么？,国家奖学金8000元/年，要求学年平均绩点≥3.5，无不及格科目，体测合格，并在社会实践、创新能力等方面表现特别突出。,学生手册P45
10,奖学金,国家励志奖学金多少钱？,国家励志奖学金5000元/年，面向家庭经济困难且成绩优秀的学生，要求平均绩点≥2.8，无挂科，且已通过贫困生认定。,学生手册P46
11,奖学金,校内奖学金分几个等级？,校内优秀学生奖学金分为三等：一等1500元（绩点≥3.5）、二等1000元（绩点≥3.0）、三等500元（绩点≥2.5），每学期评选一次。,学生手册P47
12,奖学金,体测不合格能评奖学金吗？,不能。体测成绩必须达到60分（合格）及以上，否则一票否决，即使绩点达标也不具备评选资格。,学生手册P46
13,奖学金,奖学金什么时候发放？,国家奖学金和国家励志奖学金一般在每年12月底前一次性发放至学生绑定的建设银行卡；校内奖学金在评选结束后次月发放。,财务处通知
14,奖学金,德育分不够能评奖学金吗？,德育分必须达到80分及以上（满分100分），德育分由班级测评小组根据日常表现、志愿服务、违纪情况等评定。,学生手册P48
15,奖学金,大一生能评国家奖学金吗？,可以，但大一新生第一学期不能参评，第二学期开始可按上一学期成绩参评校内奖学金；国家奖学金需大二及以上年级学生参评。,学生手册P45
16,奖学金,挂科了还能拿奖学金吗？,只要有一门课程不及格（补考通过也算挂科），即取消该学年所有评奖评优资格，包括国家奖学金和校内奖学金。,学生手册P46
17,报修,宿舍灯管坏了怎么报修？,登录“智慧校园”APP或微信公众号，点击“后勤报修”，填写房间号、故障类型（灯具），上传照片，维修师傅将在24小时内上门。,后勤服务指南
18,报修,水管漏水找谁处理？,紧急情况（爆管、大面积漏水）请直接拨打后勤维修电话 0551-123456；非紧急情况请在APP报修，选择“水暖维修”类别。,后勤服务指南
19,报修,空调不制冷怎么报修？,在APP上报修，类别选择“空调维修”，备注写明故障现象（如不制冷、漏水）。维修师傅会提前电话联系，一般48小时内处理。,后勤服务指南
20,报修,报修后多久能修好？,一般故障24小时内修复，复杂故障（如管道更换、空调加氟）72小时内修复，若无法及时修复会提前联系告知原因。,后勤服务指南
21,报修,宿舍网络接口坏了找谁？,网络接口或校园网故障请拨打网络中心电话 0551-654321，或登录“智慧校园”进行“网络报修”。,网络中心通知
22,报修,宿舍门锁坏了怎么办？,门锁损坏请立即报告宿管阿姨登记，或APP报修（类别：门锁维修），维修人员会现场更换或维修，费用由学校承担（人为损坏需照价赔偿）。,宿管中心通知
23,报修,报修需要收费吗？,自然损坏（如灯管老化、水管锈蚀）免费维修；人为损坏（如砸坏门锁、堵塞下水道）需照价赔偿，从学生押金中扣除或现场缴费。,后勤服务指南
24,报修,周末能报修吗？,可以。APP报修系统24小时开放，周末和节假日维修师傅轮流值班，紧急维修照常处理，非紧急维修顺延至工作日处理。,后勤服务指南
25,一卡通,一卡通丢了怎么办？,应立即在“智慧校园”APP上挂失（冻结账户），然后携带身份证到食堂一楼卡务中心办理补办，工本费20元，立等可取。,卡务中心指南
26,一卡通,一卡通怎么充值？,可通过支付宝或微信在“智慧校园”APP上充值，也可到食堂大厅的圈存机使用建设银行卡进行圈存充值，不收手续费。,卡务中心指南
27,一卡通,一卡通被别人捡到能刷吗？,挂失后卡片即刻冻结，无法消费。若不挂失，他人捡到可直接刷卡消费，因此丢失后务必第一时间挂失，减少损失。,卡务中心指南
28,一卡通,一卡通消磁了怎么办？,卡片消磁或芯片损坏无法刷卡时，请携带身份证到卡务中心免费加磁，若芯片损坏需换新卡，收取工本费20元。,卡务中心指南
29,一卡通,一卡通的初始密码是什么？,初始消费密码为身份证后6位（X用0代替），初次使用建议尽快在圈存机或APP上修改密码，防止盗刷。,卡务中心指南
30,一卡通,一卡通每日消费限额是多少？,单日累计消费超过50元需输入交易密码，保障资金安全，大额消费（如缴纳学费）需单独办理，不限额度。,卡务中心指南
31,一卡通,一卡通过期了怎么办？,学生一卡通有效期与学制一致（如三年制为3年）。到期后需携带学生证和身份证到卡务中心办理延期激活手续，否则无法正常使用。,卡务中心指南
32,一卡通,一卡通可以绑定手机NFC吗？,目前暂不支持手机NFC直接刷卡，但支持使用“智慧校园”APP的付款码在校内食堂、超市消费，与实体卡共用余额。,信息中心通知
33,选课/退课,选错了课能退吗？,在每学期开学第2周（补退选阶段）之前，可登录教务系统自行操作“退选”，超过期限将无法退课，成绩记0分。,教务处通知
34,选课/退课,选课系统什么时候开放？,预选在每学期第16周，正选在第17-18周，补退选在开学第1-2周。具体时间请关注教务处官网通知。,教务处通知
35,选课/退课,体育课怎么选？,登录教务系统进入“体育选课”模块，可选项目包括篮球、足球、羽毛球、太极拳等，先到先得，每学期限选一门。,教务处通知
36,选课/退课,选修课学分不够能毕业吗？,不能。必须修满人才培养方案规定的公共选修课学分（一般要求8-10学分）方可毕业，未修满需在下一学期补选。,人才培养方案
37,选课/退课,退课会影响绩点吗？,在补退选阶段内退课不影响成绩单和绩点，超过规定时间退课或擅自缺考，该课程成绩记为0分并计入绩点计算。,教务处通知
38,选课/退课,可以跨专业选课吗？,部分通识选修课允许跨专业选修，但专业课原则上不允许跨专业选课。跨专业选课前需咨询教务秘书，确认学分是否互认。,教务处通知
39,选课/退课,选课人数太少会取消开课吗？,公选课选课人数低于20人一般会停开，并在开学第一周通知停开课程信息，选该课的学生需在规定时间内补选其他课程。,教务处通知
40,选课/退课,如何查看自己的课表？,选课结束后，可在教务系统“学生课表”模块查询打印个人课表，也可通过“智慧校园”APP同步查看，以教务系统显示为准。,教务处通知
